,CAR,BUS,VEH,OUT,INC,JUN,PRK,BRK,LFT,RGT,HAZ
TP,18794.0,1090.0,2066.0,7735.0,5857.0,1738.0,1548.0,2110.0,29.0,27.0,21.0
FN,2080.0,342.0,194.0,290.0,167.0,234.0,163.0,522.0,151.0,142.0,33.0
FP,4008.0,256.0,155.0,326.0,255.0,162.0,150.0,249.0,11.0,27.0,6.0
TOTAL,20710.0,1396.0,2433.0,8633.0,6790.0,2266.0,1984.0,2742.0,182.0,170.0,54.0
precision,0.8242259450925358,0.8098068350668648,0.930211616389014,0.9595583674482074,0.9582787958115183,0.9147368421052632,0.911660777385159,0.8944467994913099,0.725,0.5,0.7777777777777778
recall,0.9003545080003833,0.7611731843575419,0.9141592920353983,0.9638629283489096,0.9722775564409031,0.8813387423935092,0.9047340736411456,0.8016717325227963,0.16111111111111112,0.15976331360946747,0.3888888888888889
